STATUS,TYPE,LOCATION,Street,Cross Street,Latitude,Longitude,Neighborhood,Supervisor District,JURSIDCTION,DATE_SUR,SHOP_DATE,MO_INST,YR_INST,RACKS,STAFF,PLACEMENT,INTERNAL_COMMENTS,NOT_RECOMMENDED_REASON,LIST_#,REQ_DATE,RACK_REQ,SUG_PLACE,REASON_REQ,FROM,NAME,EMAIL,PHONE,Location 1
Not Recommended,Sidewalk Rack,Chinese Christian Church,Chester,19th Ave,37.714801,-122.470485,,,The SFMTA,04/29/2011 12:00 AM,,,,,,,"Sidewalk looks like it has a lot of poles/electricty lines on it.  3/16: phone number not in service, may have moved locations (websites also had the church named as Glorious Light Christian Church…currently near Stonestown)",Business no longer in operation,n/a or pre-injunction,04/29/2011 12:00 AM,,,,SFBC Member,,,415.585.2306,"10 Chester
San Francisco, California
(37.714801, -122.470485)"
Not Recommended,Sidewalk Rack,America's Best Value Inn & Suites Soma,Hallam,Folsom,37.775837,-122.408749,,,The SFMTA,02/14/2011 12:00 AM,,,,0,RD,,through 311. Sidewalks are too narrow (around 7'),Narrow sidewalk,n/a or pre-injunction,02/14/2011 12:00 AM,1,50 feet from front door,no existing racks,customer,Graffiti Wolf,,415-637-4020,"10 Hallam
San Francisco, California
(37.775837, -122.408749)"
_Installed,Sidewalk Rack,Irish Bank Bar,Mark Lane,Bush,37.790324,-122.404774,Financial District,3,The SFMTA,,,,2010,1,1, ,,n/a,24,,,,,,,,,"10 Mark Lane
San Francisco, California
(37.790324, -122.404774)"
Not Recommended,Sidewalk Rack,Alemany Farmer's Market,Alemany,Peralta,37.736917,-122.40892,,,The SFMTA,03/30/2011 12:00 AM,,,,0,MB/WM,,RD is working with May Jaber of RED on bike parking as of 1/2012,Working with business to get alternative bike parking options installed ,n/a or pre-injunction,08/31/2009 12:00 AM,2,,,,,,643.20429999999999,"100 Alemany
San Francisco, California
(37.736917, -122.408920)"
_Installed,Sidewalk Rack,Noah's Bagels,Bush,Battery,37.791348,-122.399834,Financial District,3,The SFMTA,07/25/2011 12:00 AM,09/20/2011 12:00 AM,11,2011,1,JH/HP,"NS of Bush, 10 ft W of Battery",See Hold item for this location as well. RD spoke to property manager Casey (986.8880) on 9/9/11: they initially had concerns about cracked concrete caused by racks but Robert (engineer) did not have concerns once we told him we put epoxy on the nuts/bolts. Robert expressed slight concern about rack blocking peds but menitioned that there are news racks and light pole anyhow so this isn't much different. They plan on reconstructing the sidewalk in 2012 or 2013 so they will contact us to remove the rack during that time.,n/a,n/a or pre-injunction,01/25/2011 12:00 AM,2,"Alternatively, there is a square at the corner of Market/Bush/Battery/First where racks could be placed - currently, there are four racks already in place, but these are completely parked every week day",100 Bush St. garage has recently started charging to use their bike rack and so there is now a shortage of bike racks on the street. ,customer,Sarah,sarah_drinkwater@rocketmail.com,(415) 754-5432,"100 Bush
San Francisco, California
(37.791348, -122.399834)"
Hold,Sidewalk Rack,Shell Building,Bush,Battery,37.791348,-122.399834,,,The SFMTA,,,,,,,,See installed entry for this location; survey to add another rack post construction.,n/a,,11/22/2011 12:00 AM,1,next to exisiting bike rack,,,Manny Apolonio,manny@atchoreservicesf.com,415-336-5168,"100 Bush
San Francisco, California
(37.791348, -122.399834)"
_Installed,Sidewalk Rack,Crepes on Cole,Carl,Cole,37.765778,-122.450184,Haight Ashbury,5,The SFMTA,,,,2002,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"100 Carl
San Francisco, California
(37.765778, -122.450184)"
_Installed,Sidewalk Rack,Chenery Market,Chenery,Randall,37.73967,-122.425623,Glen Park,8,The SFMTA,,,,2002,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"100 Chenery
San Francisco, California
(37.739670, -122.425623)"
_Installed,Meter Bike Ring,Civic Center Plaza,Grove,Larkin,37.778388,-122.419094,Downtown/Civic Center,6,The SFMTA,,,9,2010,17,MP,Grove side across from Bill Graham Civic Auditorium,Meter bike rings installed due to single space to multi-space meter conversion,n/a,n/a or pre-injunction,,,,single-space to multi-space meters,,,,,"100 Grove St
San Francisco, California
(37.778388, -122.419094)"
_Installed,Sidewalk Rack,UCSF Medical Campus garage,Irving,Second Ave,37.764416,-122.458865,Inner Sunset,5,The SFMTA,08/31/2010 12:00 AM,,10,2010,1,1,near eastbound STOP sign,,n/a,n/a or pre-injunction,,1,"100 block of Irving Street, outside of the UCSF Medical Campus garage",,,,,,"100 Irving
San Francisco, California
(37.764416, -122.458865)"
_Installed,Sidewalk Rack,_undetermined,Masonic,Turk,37.780608,-122.447417,Western Addition,1,The SFMTA,,,,2003,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"100 Masonic
San Francisco, California
(37.780608, -122.447417)"
_Installed,Sidewalk Rack,Lightening Food,Mission,Spear,37.792324,-122.394418,Financial District,6,The SFMTA,07/25/2011 12:00 AM,08/10/2011 12:00 AM,,2003,1,JH/HP, ,"The spikes are still there, but the caps to the bolts are gone; was put on wo for list 22 for repair",n/a,n/a or pre-injunction,,,,loose bolt reported. Two existing racks listed for this intersection; need to survey for specific placement info.,,,,,"100 Mission
San Francisco, California
(37.792324, -122.394418)"
_Installed,Sidewalk Rack,_undetermined,Sansome,Bush,37.791446,-122.400716,Financial District,3,The SFMTA,,,,2003,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"100 Sansome
San Francisco, California
(37.791446, -122.400716)"
Not Recommended,Sidewalk Rack,Office Building,Van Ness,Felll,37.776687,-122.419527,,,The SFMTA,07/23/2010 12:00 AM,,,,0,RD,,spoke with building owner. upcoming planning meeting for streetscape improvements where bike parking will be discussed. Wait until they contact us or when another request is received.,Conflict with upcoming streetscape projects,n/a or pre-injunction,12/16/2008 12:00 AM,1,,,,,,,"100 Van Ness
San Francisco, California
(37.776687, -122.419527)"
_Installed,Sidewalk Rack,Starbucks,West Portal,Vicente,37.739514,-122.46733,West of Twin Peaks,7,The SFMTA,,,,?,1,1, ,,n/a,n/a or pre-injunction,,,,,GWPNA,Avrum,,,"100 West Portal
San Francisco, California
(37.739514, -122.467330)"
_Installed,Sidewalk Rack,La Boulange Café & Bakery,Cole,Parnassus,37.764708,-122.449717,Haight Ashbury,5,The SFMTA,10/26/2010 12:00 AM,11/16/2010 12:00 AM,1,2011,2,RD,"Parnassus, south side, east of Cole",one existing bike rack on Cole; RD gave them a bike corral app also.,n/a,24,08/12/2009 12:00 AM,1,,,,,,,"1000 Cole
San Francisco, California
(37.764708, -122.449717)"
_Installed,Sidewalk Rack,_undetermined,Market,Golden Gate/Taylor,37.781884,-122.410808,Downtown/Civic Center,6,The SFMTA,,,,2002,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"1000 Market
San Francisco, California
(37.781884, -122.410808)"
_Installed,Sidewalk Rack,Community Housing Partnership San Cristina ,Market ,Golden Gate,37.781884,-122.410808,Downtown/Civic Center,6,The SFMTA,07/26/2011 12:00 AM,09/20/2011 12:00 AM,11,2011,2,HP,"NS of Market, 120 ft SW of Golden Gate (6th St)","Spoke with Eboni, need to stencil 2 racks. ",n/a,n/a or pre-injunction,06/20/2011 12:00 AM,2,IFO San Cristina Residence ,Tenans would like two bike racks in front of their building ,Property Management ,Eboni Wilson,ewilson@chp-sf.org,,"1000 Market
San Francisco, California
(37.781884, -122.410808)"
_Installed,Sidewalk Rack,AMC Theater,Van Ness,O'Farrell,37.784784,-122.421052,Downtown/Civic Center,6,The SFMTA,08/26/2011 12:00 AM,09/20/2011 12:00 AM,11,2011,2,HP,"ES of Van Ness, 10' S of Myrtle & SS of Myrtle, 20' E of Van Ness","bike parking available in garage; Michelle (prop manager) sent email in May 2011; RD sent email 7/7/1; stencil for one rack on Van Ness. HP originally went out to stencil at this location and stneciled on O'Farrell. However, after review from WT and reaching out to AMC, it was clear that their bike parking demand was on the Van Ness side, close to their entrance. HP stenciled for 2 racks near their location against the guidlines. Some bikes were even parked on the handicap accessible ramp to the movie theater. Also surveyed on 9/30/2010 & 8/5/2011",n/a,24,07/10/2009 12:00 AM,1,,People are parking their bikes on the railing and interfering with the wheelchair ramp,,,,,"1000 Van Ness
San Francisco, California
(37.784784, -122.421052)"
Follow Up,On-Street Corral,AMC Theater,Van Ness,O'Farrell,37.784784,-122.421052,,,The SFMTA,,,,,,,,RD needs to reach out and see if they want a corral,n/a,n/a or pre-injunction,01/15/2012 12:00 AM,,in front of building,Racks in parking lot is inconvenient,,,joe@onetwothree.net,,"1000 Van Ness
San Francisco, California
(37.784784, -122.421052)"
Hold,On-Street Corral,Piccino,22nd St,Minnesota,37.757815,-122.390141,,,The SFMTA,,,,,5,RD,"Minnesota Street, east side, from 11 feet to 19 feet south of 22nd Street (eight foot zone)","confirmed support early August 2011; bulb-out in progress, wait till we hear back",construction scheduled,n/a or pre-injunction,,,,,,Margherita Stewart Sagan,margherita@piccinocafe.com,415.824.4224 ex 12,"1001 Minnesota
San Francisco, California
(37.757815, -122.390141)"
Not Recommended,Sidewalk Rack,Ocean Avenue Veterinary Hospital,Ocean,Harold,37.723274,-122.453267,,,The SFMTA,08/20/2010 12:00 AM,,,,0,1,,request not made/declined approval, Owner declined approval,n/a or pre-injunction,01/05/2009 12:00 AM,1,,,,,,,"1001 Ocean
San Francisco, California
(37.723274, -122.453267)"
_Request,Sidewalk Rack,Limon Rotisserie,S Van Ness,21st St,37.757014,-122.416696,Mission,9,The SFMTA,,,,,,,,RD confirmed with general manager,n/a,,06/06/2012 12:00 AM,2,on 21st St (SVN loading may change),,General Manager,Antonio Castillo,antonio@limonsf.com,415-821-2134,"1001 S Van Ness
San Francisco, California
(37.757014, -122.416696)"
Not Recommended,Sidewalk Rack,Town Cutler,Bush,Jones,37.789494,-122.413967,,,The SFMTA,,,,,,,,"JC went out to survey and store is in located at the back of a yellow loading zone, bike rack will be placed in front of 1017 Bush, Australian Fair",Yellow zone conflict,,11/22/2011 12:00 AM,1,In front of building,many customers ride bikes to store,owner,Galen Garretson,towncutler@gmail.com,415-359-1519,"1005 Bush
San Francisco, California
(37.789494, -122.413967)"
Not Recommended,Sidewalk Rack,Cafe Que Tal,Guerrero,22nd St,37.754923,-122.423126,,,The SFMTA,11/16/2010 12:00 AM,,,,0,GH,,narrow sidewalk; employees hesitant about install; left flyer so they can follow up,Narrow sidewalk,n/a or pre-injunction,,1,,,,,,,"1005 Guerrero
San Francisco, California
(37.754923, -122.423126)"
Not Recommended,Sidewalk Rack,residential,Hyde,Pine,37.790193,-122.417264,,,The SFMTA,10/19/2010 12:00 AM,,,,0,1,,residential request,Residential-only land-use,n/a or pre-injunction,12/17/2008 12:00 AM,5,East side,,,,,,"1005 Hyde
San Francisco, California
(37.790193, -122.417264)"
_Installed,Sidewalk Rack,Bank of America,Taraval,20th Ave,37.742953,-122.477089,Parkside,4,The SFMTA,,,,2010,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"1007 Taraval
San Francisco, California
(37.742953, -122.477089)"
Not Recommended,Sidewalk Rack,Courtney's ,Castro ,14th St,37.767194,-122.435576,,,The SFMTA,07/05/2012 12:00 AM,,,,,JC,,owner does not want rack; has many outside furnishings,,,07/02/2012 12:00 AM,,,,owner,Ivy,,(415) 626-1850,"101 Castro
San Francisco, California
(37.767194, -122.435576)"
_Installed,Sidewalk Rack,Fabrix,Clement,Second Ave,37.783085,-122.460178,Inner Richmond,1,The SFMTA,,,,2004,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"101 Clement
San Francisco, California
(37.783085, -122.460178)"
_Installed,Sidewalk Rack,Swatch,Geary,Grant,37.787694,-122.405228,Financial District,3,The SFMTA,,,,2004,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"101 Geary
San Francisco, California
(37.787694, -122.405228)"
_Installed,Sidewalk Rack,Swatch,Geary,Grant,37.787694,-122.405228,Financial District,3,The SFMTA,,,,2004,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"101 Geary
San Francisco, California
(37.787694, -122.405228)"
_Installed,Sidewalk Rack,San Francisco Department of Public Health,Grove,Polk,37.778384,-122.418696,Downtown/Civic Center,6,The SFMTA,,,,2006,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"101 Grove
San Francisco, California
(37.778384, -122.418696)"
_Installed,Sidewalk Rack,DPH,Grove,Polk,37.778384,-122.418696,Downtown/Civic Center,6,The SFMTA,10/28/2010 12:00 AM,11/16/2010 12:00 AM,12,2010,1,RD,west side south of Grove,,n/a,n/a or pre-injunction,10/28/2010 12:00 AM,1,west side,,DPH,,,,"101 Grove
San Francisco, California
(37.778384, -122.418696)"
_Installed,Meter Bike Ring,Department of Public Health,Grove,Van Ness,37.778384,-122.418696,Downtown/Civic Center,6,The SFMTA,,,9,2010,2,MP, ,Meter bike rings installed due to single space to multi-space meter conversion,n/a,n/a or pre-injunction,,,,single-space to multi-space meters,,,,,"101 Grove
San Francisco, California
(37.778384, -122.418696)"
_Installed,Sidewalk Rack,_undetermined,Townsend,Second St,37.780467,-122.390683,South of Market,6,The SFMTA,,,,2000,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"101 Townsend
San Francisco, California
(37.780467, -122.390683)"
_Installed,Sidewalk Rack,Family Service Agency of SF,Gough,Eddy,37.782727,-122.424136,Downtown/Civic Center,5,The SFMTA,10/06/2010 12:00 AM,10/28/2010 12:00 AM,11,2010,3,1,"ES of Gough, N of Eddy",,n/a,19,04/02/2010 12:00 AM,,,request made by Liz Ross 415.240.6384 who provided Denise as contact,facilities manager,Denise,,474-7310,"1010 Gough
San Francisco, California
(37.782727, -122.424136)"
Not Recommended,Sidewalk Rack,Restaurant,Taraval,20th Ave,37.742933,-122.476907,,,The SFMTA,03/18/2010 12:00 AM,,,,0,CD,,Small business. Did not want a rack.; surveyed by CD, Owner declined approval,n/a or pre-injunction,01/05/2009 12:00 AM,1,,,,Mike ,,,"1011 Taraval
San Francisco, California
(37.742933, -122.476907)"
_Installed,Sidewalk Rack,_undetermined,Columbus,Taylor,37.803949,-122.415345,North Beach,3,The SFMTA,,,,2006,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"1016 Columbus
San Francisco, California
(37.803949, -122.415345)"
_installation in progress,Sidewalk Rack,Australian Fair,Bush,Jones,37.789458,-122.414004,Downtown/Civic Center,3,The SFMTA,06/15/2012 12:00 AM,07/17/2012 12:00 AM,,2012,1,JC,"SS Bush, 60' W of Jones",alternative bike rack location because area in front of Town Cutler was not suitable,n/a,29,06/15/2012 12:00 AM,1,,,maanger,Andy Murray,,415.441.5319,"1017 Bush
San Francisco, California
(37.789458, -122.414004)"
_Installed,Sidewalk Rack,_undetermined,Market,Sixth St,37.781897,-122.410682,Downtown/Civic Center,6,The SFMTA,,,,2002,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"1017 Market
San Francisco, California
(37.781897, -122.410682)"
_Installed,Sidewalk Rack,Oceanic Restaurant,Utah,15th St / Alameda,37.768404,-122.406753,Mission,10,The SFMTA,,,,2004,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"101A Utah
San Francisco, California
(37.768404, -122.406753)"
_Installed,Sidewalk Rack,Show Dogs Sausages,Market,Golden Gate,37.781834,-122.410869,Downtown/Civic Center,6,The SFMTA,10/28/2010 12:00 AM,11/16/2010 12:00 AM,12,2010,2,RD,"north side, west of 6th St",DPH racks,n/a,9,10/28/2010 12:00 AM,2,"north side, west of 6th St",Special Treasure Island Racks (see comments),DPH/SFBC,Neal Patel,,,"1020 Market St
San Francisco, California
(37.781834, -122.410869)"
Not Recommended,Sidewalk Rack,residential,Natoma,11th St,37.773194,-122.41653,,,The SFMTA,01/26/2011 12:00 AM,02/09/2011 12:00 AM,,,0,MB/WM,"NWS of Natoma, Midblock btwn Eleventh and Layfayette",customer called 311.Sidewalk is too narrow and they are not being used. Was on list 17 and installed 3/2011. Included on work order to remove 2 racks for list 19.,Residential-only land-use,n/a or pre-injunction,01/18/2010 12:00 AM,2,,Rack to service small commercial / live work building. Space for 4 bikes.,,,,,"1022 Natoma
San Francisco, California
(37.773194, -122.416530)"
_Installed,Sidewalk Rack,McKinley ES,14th St,Roosevelt Way,37.767231,-122.436377,Castro/Upper Market,8,The SFMTA,04/29/2011 12:00 AM,08/10/2011 12:00 AM,9,2011,1,MB,"WS Castro, 60' S of Fourteenth",Alex contacted SFMTA on behalf of principal,n/a,n/a or pre-injunction,10/06/2010 12:00 AM,1,,,parent,Alex Wade,wade@wadelab.net,415.345.2083,"1025 14th St
San Francisco, California
(37.767231, -122.436377)"
_Installed,Sidewalk Rack,Saint Agnes Church,Masonic,Oak/Page,37.771653,-122.445694,Haight Ashbury,5,The SFMTA,08/29/2011 12:00 AM,09/27/2011 12:00 AM,2,2012,2,AU/HP,"1 parallel WS of Masonic, 20' N of Page & 1 perpendicular WS of Masonic, 40' N of Page",RD has scanned copy of letter and map showing where to put racks. He sent email to Zack on 1.21.11 saying we'll survey within three months.,n/a,23,11/18/2010 12:00 AM,2,"one rack south of white zone and one rack north of white zone, but neither IN white zone",church attendees come by bike,Director of Operations,Zack Zweber,zack@SaintAgnesSF.com,415.487.8560,"1025 Masonic
San Francisco, California
(37.771653, -122.445694)"
_Installed,Sidewalk Rack,_undetermined,Valencia,21st St,37.756427,-122.421094,Mission,8,The SFMTA,,,,2002,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"1026 Valencia
San Francisco, California
(37.756427, -122.421094)"
_Installed,Sidewalk Rack,Café Altano,Valencia,21st St,37.756427,-122.421094,Mission,8,The SFMTA,,,,2010,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"1026 Valencia
San Francisco, California
(37.756427, -122.421094)"
Not Recommended,Sidewalk Rack,Ritual Coffee,Valencia,20th St,37.756427,-122.421094,,,The SFMTA,04/16/2010 12:00 AM,,,,0,DR,,2 existing racks nearby.; surveyed by DR,Existing bike parking meets demand,n/a or pre-injunction,12/09/2008 12:00 AM,1,,,,,,,"1026 Valencia
San Francisco, California
(37.756427, -122.421094)"
_Installed,Sidewalk Rack,San Francisco Green Party,Howard,Sixth St,37.779294,-122.407759,South of Market,6,The SFMTA,,,,2003,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"1028 Howard
San Francisco, California
(37.779294, -122.407759)"
_Installed,Sidewalk Rack,La Paz Restaurant. ,Potrero,22nd St,37.755693,-122.40665,Mission,9,The SFMTA,09/30/2011 12:00 AM,01/10/2012 12:00 AM,2,2012,1,AU/JW,"WS of Potrero, 170' S of 22nd",,n/a,24,08/25/2009 12:00 AM,1,,"This little mom and pop could reallyuse arack in front of their restaurant, or on either side. There's lots of bike traffic on Potrero Ave. Two requests from Mary. She spoke with the El Salvadoran owner who expressed interest in having",,,,,"1028 Potrero
San Francisco, California
(37.755693, -122.406650)"
_Installed,Sidewalk Rack,Café la Flore,Clement,12th Ave,37.782668,-122.470522,Inner Richmond,1,The SFMTA,,,,2003,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"1032 Clement
San Francisco, California
(37.782668, -122.470522)"
_Installed,Sidewalk Rack,UPS Store,Irving,12th Ave,37.763958,-122.469121,Inner Sunset,5,The SFMTA,,,,2006,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"1032 Irving
San Francisco, California
(37.763958, -122.469121)"
_Installed,Sidewalk Rack,Lost Weekend Video,Valencia,Hill,37.756358,-122.421094,Mission,8,The SFMTA,,,,2005,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"1032 Valencia
San Francisco, California
(37.756358, -122.421094)"
_Installed,Sidewalk Rack,Lusty Lady Theater,Kearny,Broadway/Columbus,37.797308,-122.405446,Chinatown,3,The SFMTA,,,,2010,1,1,,,n/a,n/a or pre-injunction,,,,,,,,,"1033 Kearny
San Francisco, California
(37.797308, -122.405446)"
_Installed,Sidewalk Rack,_undetermined,Valencia,21st St,37.756358,-122.421094,Mission,8,The SFMTA,,,,2005,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"1034 Valencia
San Francisco, California
(37.756358, -122.421094)"
_Installed,Sidewalk Rack,AIDS/LifeCycle office?,Market,Sixth St,37.781587,-122.411072,Downtown/Civic Center,6,The SFMTA,04/21/2011 12:00 AM,04/26/2011 12:00 AM,5,2011,2,RD,"SS Market, 300' W of 6th St",perpendicular to the curb,n/a,n/a or pre-injunction,09/24/2010 12:00 AM,,,,employee,Tim Schneider,tschneider@aidslifecycle.org,415.581.7096 ,"1035 Market
San Francisco, California
(37.781587, -122.411072)"
Follow Up,Sidewalk Rack,Quickly Café,Ocean ,Lee,37.723307,-122.45353,,,The SFMTA,06/16/2011 12:00 AM,,,,,,,3/16: phone number out of service,Unable to reach business for followup,n/a or pre-injunction,06/16/2011 12:00 AM,1,IFO Quickly Café,Inconvenient for bikers to find suitable bike parking in the neighborhood  ,Neighborhood Resident ,Anna Fang,anfang3@gmail.com,(415) 239-9998,"1039 Ocean
San Francisco, California
(37.723307, -122.453530)"
_Installed,Sidewalk Rack,_undetermined,Folsom,Sixth St,37.777804,-122.406558,South of Market,6,The SFMTA,,,,2003,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"1040 Folsom
San Francisco, California
(37.777804, -122.406558)"
_Installed,Sidewalk Rack,_undetermined,Treat,23rd St,37.753454,-122.413026,Mission,9,The SFMTA,,,,2010,3,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"1043 Treat
San Francisco, California
(37.753454, -122.413026)"
_Stenciled,Sidewalk Rack,Raphael House,Sutter,Hyde / Larkin,37.788029,-122.417579,Downtown/Civic Center,3,The SFMTA,07/11/2012 12:00 AM,,,,2,JC,"SS Sutter, 1 rack 150' and 1 rack 175' W of Hyde; midblock",main address is 1065 Sutter but they also have 1047  and 1049 (all adjacent),n/a,30,04/20/2012 12:00 AM,2,IFO 1047 and/or 1049 (whatver works),visitors and short-term use,facilities manager,Jerry Maynard,jmaynard@raphaelhouse.org,415-474-4621,"1047 Sutter
San Francisco, California
(37.788029, -122.417579)"
_Installed,Sidewalk Rack,_undetermined,Valencia,McCoppin,37.771502,-122.422448,South of Market,6,The SFMTA,,,,2005,1,1, ,,n/a,n/a or pre-injunction,,,,,,,,,"105 Valencia
San Francisco, California
(37.771502, -122.422448)"
_Installed,Sidewalk Rack,Natural Beauty Salon,West Portal,Vicente,37.739688,-122.467041,West of Twin Peaks,7,The SFMTA,,,,2002,1,1, ,,n/a,12,,,,,,,,,"105 West Portal
San Francisco, California
(37.739688, -122.467041)"
_Installed,Sidewalk Rack,Ella Hill Hutch Communtiy Center,McAllister,Webster/Buchanan,37.779005,-122.429273,Western Addition,5,The SFMTA,,,,2002,1,1, ,,n/a,12,,,,,,,,,"1050 McAllister
San Francisco, California
(37.779005, -122.429273)"
_Installed,Sidewalk Rack,Beeps Burgers,Ocean,Lee,37.723414,-122.453867,Ocean View,7,The SFMTA,08/19/2010 12:00 AM,,,2002,1,1,fronting property on Lee side,,n/a,n/a or pre-injunction,,,,,,,,,"1051 Ocean
San Francisco, California
(37.723414, -122.453867)"
